instance,i,j,HELIME_feature_agreement,HELIME_rank_agreement,HELIME_sign_agreement,HELIME_signed_rank_agreement,HELIME_cos_similarity_rank,HELIME_cos_similarity_weights,HELIME_euclidean_distance_weights,HELIME_manhattan_distance_weights
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.7,0.3,0.7,0.3,0.9739820200951878,0.9769634245110677,0.03491745775230978,0.15582837446105002
0.0,0.0,2.0,0.9,0.7,0.9,0.7,0.9860391327340032,0.990953908024918,0.02137475280072679,0.08780146269988981
0.0,0.0,3.0,0.9,0.6,0.9,0.6,0.9786356425171867,0.9798325779447777,0.03169223653331916,0.13438583156459005
0.0,0.0,4.0,0.8,0.3,0.8,0.3,0.9849814912744577,0.9874751639427316,0.025517935160984252,0.10163110590214079
0.0,0.0,5.0,0.8,0.2,0.8,0.2,0.9753569539925965,0.9745064980809801,0.03559548543802149,0.14370507584168168
0.0,0.0,6.0,0.8,0.3,0.8,0.3,0.9823373876255949,0.9827632398226211,0.029543013317197928,0.1287106237940395
0.0,0.0,7.0,0.9,0.5,0.9,0.5,0.9750396615547328,0.9756071865659544,0.03556736798444658,0.14914444786158979
0.0,0.0,8.0,0.8,0.3,0.8,0.3,0.9782125859333686,0.9771775105302859,0.03381300612273372,0.14789687659467793
0.0,0.0,9.0,0.7,0.0,0.7,0.0,0.9828662083553675,0.9683624439597126,0.03977456042190555,0.15192775869466793
0.0,1.0,2.0,0.8,0.3,0.8,0.3,0.9694341618191433,0.9760146291367167,0.03587889625843693,0.15309923136649922
0.0,1.0,3.0,0.8,0.4,0.8,0.4,0.9799048122686409,0.9867917811684048,0.02730120435997119,0.11849898668668725
0.0,1.0,4.0,0.9,0.1,0.9,0.1,0.987625594923321,0.9837568801198263,0.030792704649009177,0.1294283757526826
0.0,1.0,5.0,0.9,0.0,0.9,0.0,0.988048651507139,0.9767165078629315,0.03531528503444851,0.15290678366273014
0.0,1.0,6.0,0.8,0.3,0.8,0.3,0.9752511898466423,0.974083615709511,0.03698807028246193,0.16696838332472172
0.0,1.0,7.0,0.8,0.1,0.8,0.1,0.9756742464304601,0.9792008129395947,0.033231359960033506,0.13541156310662117
0.0,1.0,8.0,0.9,0.2,0.9,0.2,0.9867794817556849,0.9822184504900057,0.030820943496469546,0.11462382317202038
0.0,1.0,9.0,0.8,0.3,0.8,0.3,0.9803278688524588,0.977514737910336,0.03598830734147529,0.15847242318214394
0.0,2.0,3.0,0.9,0.6,0.9,0.6,0.9806451612903228,0.9843784538933347,0.027391089822542812,0.12075232813877607
0.0,2.0,4.0,0.9,0.3,0.9,0.3,0.9864621893178211,0.9930516988645398,0.01842651731074831,0.0755032947665886
0.0,2.0,5.0,0.9,0.4,0.9,0.4,0.9759915388683237,0.9826530079050955,0.028950205516611694,0.11574123386629767
0.0,2.0,6.0,0.7,0.3,0.7,0.3,0.9819143310417772,0.9850600287738595,0.027539101624061736,0.11144966740815085
0.0,2.0,7.0,0.9,0.4,0.9,0.4,0.9820200951877314,0.9808907144110024,0.03174365696653434,0.13433320020953707
0.0,2.0,8.0,0.9,0.3,0.9,0.3,0.9855103120042308,0.9817385227821163,0.030037455794660235,0.13300514921200493
0.0,2.0,9.0,0.8,0.0,0.8,0.0,0.9852987837123215,0.9771901718031117,0.03301049418697398,0.1268414522631237
0.0,3.0,4.0,0.9,0.5,0.9,0.5,0.987625594923321,0.9896807504431963,0.02223293166218777,0.09094357969678224
0.0,3.0,5.0,0.9,0.3,0.9,0.3,0.9712321523003702,0.9733964945151277,0.03581323590497716,0.1589701917920144
0.0,3.0,6.0,0.8,0.4,0.8,0.4,0.975251189846642,0.9783325517766054,0.033048113318697274,0.14122605377363506
0.0,3.0,7.0,0.8,0.3,0.8,0.3,0.9722897937599153,0.9721318527106761,0.03807709511743952,0.13939260036696527
0.0,3.0,8.0,0.9,0.4,0.9,0.4,0.9851930195663668,0.9861007910185117,0.026250809727849933,0.10499046845902989
0.0,3.0,9.0,0.8,0.1,0.8,0.1,0.9813855103120045,0.9761139433556056,0.033657198167478565,0.13715409517048113
0.0,4.0,5.0,1.0,0.5,1.0,0.5,0.9828662083553675,0.9854802807535111,0.026493680470435474,0.1094804487573744
0.0,4.0,6.0,0.8,0.5,0.8,0.5,0.9800105764145955,0.9831114171833132,0.029656934306514,0.12535467210531567
0.0,4.0,7.0,0.9,0.5,0.9,0.5,0.9847699629825488,0.9869057960656016,0.027422150355247858,0.1004499454312459
0.0,4.0,8.0,1.0,0.8,1.0,0.8,0.9868852459016393,0.9858824684845208,0.026753764679443317,0.11398349298729235
0.0,4.0,9.0,0.9,0.4,0.9,0.4,0.9854045478582762,0.9851942899577524,0.025985636838498128,0.10004006551130172
0.0,5.0,6.0,0.8,0.4,0.8,0.4,0.9750396615547331,0.9681688585213548,0.03994205377159459,0.15011799971894288
0.0,5.0,7.0,0.9,0.4,0.9,0.4,0.9797990481226865,0.9883465828608472,0.025058961105253935,0.1024915856268381
0.0,5.0,8.0,1.0,0.4,1.0,0.4,0.9855103120042306,0.987915586805878,0.024474730306428633,0.11078707133072584
0.0,5.0,9.0,0.9,0.3,0.9,0.3,0.981702802749868,0.9795489064691969,0.03145737419732808,0.1250042558529784
0.0,6.0,7.0,0.8,0.6,0.8,0.6,0.9826546800634584,0.9732496680353625,0.03726529343959438,0.15725502588449394
0.0,6.0,8.0,0.8,0.5,0.8,0.5,0.9851930195663672,0.9756775521549087,0.03503819523858716,0.15059383699802784
0.0,6.0,9.0,0.8,0.2,0.8,0.2,0.9880486515071393,0.9783439709328797,0.033648594649863126,0.12195538283123813
0.0,7.0,8.0,0.9,0.5,0.9,0.5,0.9862506610259123,0.9863002916755498,0.026790694113760432,0.10907348279801793
0.0,7.0,9.0,0.8,0.2,0.8,0.2,0.9780010576414596,0.9765262352056947,0.03595254947024394,0.1466036913880719
0.0,8.0,9.0,0.9,0.3,0.9,0.3,0.98900052882073,0.9807636490827426,0.031275353000142204,0.12547478207271276
1.0,0.0,1.0,0.8,0.1,0.8,0.1,0.973453199365415,0.9804374296483053,0.24479780534102225,1.0590864743866095
1.0,0.0,2.0,0.8,0.3,0.8,0.3,0.9645690111052353,0.9761879528064671,0.27078148599376617,1.222246340450136
1.0,0.0,3.0,0.7,0.1,0.7,0.1,0.9705975674246426,0.9744272032273346,0.27594648083047185,1.1012765658596337
1.0,0.0,4.0,0.9,0.4,0.9,0.4,0.978106821787414,0.9840313148900615,0.2216858802122715,0.9653976516953374
1.0,0.0,5.0,0.8,0.6,0.8,0.6,0.9698572184029614,0.9679064610687999,0.3081804769968586,1.204205687685842
1.0,0.0,6.0,0.8,0.1,0.8,0.1,0.9689053410893707,0.979442124759456,0.2475836631672176,1.0440162671919633
1.0,0.0,7.0,0.7,0.1,0.7,0.1,0.9526176626123742,0.9750025331070996,0.27652967722357735,1.2114559073265716
1.0,0.0,8.0,0.8,0.3,0.8,0.3,0.9497620306716023,0.9642843870673378,0.32466939615174445,1.3348263650885155
1.0,0.0,9.0,0.8,0.3,0.8,0.3,0.9556848228450554,0.9595650416903374,0.35441696181646043,1.3681798147191722
1.0,1.0,2.0,1.0,0.1,1.0,0.1,0.9719725013220519,0.9820885762225304,0.2187030844742177,0.9498033034119479
1.0,1.0,3.0,0.9,0.4,0.9,0.4,0.9678476996298254,0.9782551299255478,0.2524379292525387,1.0411424672124179
1.0,1.0,4.0,0.9,0.2,0.9,0.2,0.9636171337916443,0.9859625641095255,0.21868094031618507,0.97705415028679
1.0,1.0,5.0,0.9,0.2,0.9,0.2,0.9807509254362772,0.9784203797799805,0.24723688886211154,0.9771390636377882
1.0,1.0,6.0,0.9,0.4,0.9,0.4,0.9640401903754626,0.9860549602804324,0.1980052759024454,0.8739310035768527
1.0,1.0,7.0,0.9,0.2,0.9,0.2,0.9646747752511895,0.9855904515797324,0.21999902348481484,0.9094642648580354
1.0,1.0,8.0,1.0,0.2,1.0,0.2,0.9656266525647803,0.9856837502721694,0.19888776690104085,0.9037868777894952
1.0,1.0,9.0,1.0,0.2,1.0,0.2,0.9696456901110522,0.9677137490753462,0.3218445240994092,1.1290775611016866
1.0,2.0,3.0,0.9,0.3,0.9,0.3,0.9519830777366473,0.9657892505906867,0.31508169799538666,1.3631691475137298
1.0,2.0,4.0,0.9,0.4,0.9,0.4,0.964145954521417,0.9843520377206781,0.2338076566427075,0.9786983659073094
1.0,2.0,5.0,0.9,0.6,0.9,0.6,0.9551560021152831,0.9803759941819554,0.2372336679606133,0.9305407760592789
