,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.006643515591567013,0.22670447262616053,-0.100595932945795,-0.010683427119151693,0.016997167946855917,-0.008909899066939082,-0.00256614095617982,0.03490857044284778,0.00035995963512182056,0.0012026306371343974,0.0005681295497586842,-0.0006341994437906101,0.001014758451876275,6.428016199107714e-05,0.0
2,-0.00784437536291749,0.23231467261832012,-0.10823604376915573,-0.008126905658334797,0.014219691381273738,-0.004600483194803679,-0.0024332972600346185,0.029146017271086854,-0.000279882982298849,0.0011774083199136464,9.843123710032492e-05,-0.0007935331647931493,0.0005237424744243234,0.00013255149844959845,0.0
3,-0.005705660424904839,0.22615001458349018,-0.108956229509299,-0.009360473049066276,0.016211630283126045,-0.009409743201236416,-0.0005842309569365323,0.029298449097538766,0.0004619463034580613,-0.00018913866996522215,-0.001217906295820572,-0.0007123044156171929,0.0014045135398058114,-0.0005261022917577428,0.0
4,-0.006877198301562311,0.2326719505124651,-0.10388348468667352,-0.007265662743571658,0.0161494003803643,-0.006914176611545225,-0.002412720244888277,0.030542094475005947,-0.0006556374013185113,0.0004797276164687855,0.00011497220725100775,-0.00020077292188610892,-0.00016982889216260542,-0.0005184700456610806,0.0
5,-0.007967956142502765,0.23534497305879562,-0.10214097926606727,-0.008424222149386346,0.015139835016665869,-0.00878806926047037,-0.003396970822923979,0.026867742244042387,0.0010028532218269819,-0.00045317896299938633,0.00011733433962961053,5.01110894538046e-05,0.0001935440257039591,-0.000189573558365852,0.0
6,-0.00790824923490736,0.23462065822391706,-0.10235568976842602,-0.008593235134808898,0.014694214006982889,-0.0059535396795463305,-0.004667320920308083,0.0290858646423871,0.000574737973672264,0.001504048214099369,-0.00011318639955246537,-0.000565804840305945,0.0014930020876983442,0.0007823810601821559,0.0
7,-0.006698320288556504,0.23270516146267226,-0.10618729091490263,-0.008100247488133868,0.0156877616025052,-0.009068036550857451,-0.0008976050034778814,0.026257168736487025,-0.0006489587198034961,0.0012201011815749698,-0.0002586104428495971,0.00044533765942593196,-0.00034958777832712107,-0.001652766320392787,0.0
8,-0.007149381486156898,0.23040933935017127,-0.10812394230104515,-0.0060695157172504415,0.0158872787679772,-0.010863454402076275,-0.0002214080987685556,0.028624948798578145,0.0005660362811926483,-0.0009206590619951683,0.000810822596311873,8.292352418696207e-05,-0.00011005226683050638,-0.00017815683070219373,0.0
9,-0.006169968662741232,0.2246227023861089,-0.10897629627541879,-0.008295295811285632,0.015803324594456106,-0.010019652673829411,-0.0008756707975596208,0.03101134549201772,-0.0008075156122780454,0.0006330161389979375,0.0005669000127100813,-0.000718681139296982,-8.667126798286741e-05,-0.0008893508731442236,0.0
10,-0.007941719231066763,0.2337521340637889,-0.09764450006915273,-0.009660023386215503,0.015783783252350733,-0.00851688263028525,-0.00546138850250981,0.029881801758883095,-0.0018950225533664621,0.0005512698636783801,-0.0003025462336332131,-0.0005887632135223126,-0.0007319529814947291,-0.0009386280377247341,0.0
11,0.03429408220782897,0.0542460338305219,-0.1459048064389532,-0.04150304075744262,-0.0018999189188426088,0.03209995152799661,0.03037875689932994,0.03696076036919432,0.0006922017397050555,0.0004584328012882447,0.001842105000407784,-0.00048094707588608145,0.0007297156897099021,-0.0004206041308167831,1.0
12,0.037443916828374835,0.053172076083824925,-0.151399345480545,-0.040018063344574445,-0.0031971739639513074,0.029187256916449293,0.029321133184031862,0.043189386470448364,-0.0006290065443305546,-0.0018726342285522958,-0.0023060139465641036,0.0002635398773977653,0.0016570624200964708,0.00030223002335125627,1.0
13,0.037399780133978267,0.05271658515480596,-0.14268903390854254,-0.04434242133538332,-0.004043057621573088,0.032418948378958874,0.029900427060715336,0.039720837404831455,-0.0019100489242558222,-0.003372453058947525,-0.00024071468073773045,-0.002110130535305955,-0.0003765067280806109,-0.0011038695322127918,1.0
