instance,i,j,HELIME_feature_agreement,HELIME_rank_agreement,HELIME_sign_agreement,HELIME_signed_rank_agreement,HELIME_cos_similarity_rank,HELIME_cos_similarity_weights,HELIME_euclidean_distance_weights,HELIME_manhattan_distance_weights
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.9,0.7,0.9,0.7,0.9950738916256158,0.9991717482350784,0.012579165608143286,0.03184336563552419
0.0,0.0,2.0,0.8,0.5,0.8,0.5,0.9733990147783251,0.9991367016125421,0.010711863164414937,0.024391011320021506
0.0,0.0,3.0,0.8,0.8,0.8,0.8,0.9753694581280788,0.9996082455815076,0.009253964512113425,0.02466228488698643
0.0,0.0,4.0,0.9,0.6,0.8,0.6,0.9832512315270936,0.9992014780553076,0.012541078099598962,0.029128890152558456
0.0,0.0,5.0,1.0,0.8,1.0,0.8,0.9901477832512315,0.9994005890204094,0.011200176220939289,0.02867631814224979
0.0,0.0,6.0,0.9,0.6,0.9,0.6,0.9704433497536945,0.9990811845324532,0.012688360700223715,0.03203157132873642
0.0,0.0,7.0,0.8,0.4,0.7,0.4,0.9724137931034482,0.9990847965337036,0.012182730131050132,0.03270088246258005
0.0,0.0,8.0,0.8,0.5,0.8,0.5,0.9635467980295568,0.9991805334506498,0.010247521591893167,0.0250929656081934
0.0,0.0,9.0,0.8,0.8,0.8,0.8,0.9733990147783252,0.9993325949984301,0.01033039126726816,0.028421193656851564
0.0,1.0,2.0,0.8,0.5,0.8,0.5,0.9625615763546799,0.9995742415007135,0.008973474064897577,0.02410519055487383
0.0,1.0,3.0,0.8,0.6,0.8,0.6,0.9842364532019704,0.9997579867642625,0.0058017632022668185,0.01522564283386289
0.0,1.0,4.0,0.9,0.5,0.8,0.5,0.9832512315270937,0.9994314088114491,0.008727374298287219,0.02232413485454435
0.0,1.0,5.0,0.9,0.9,0.9,0.9,0.993103448275862,0.9996303146805157,0.007033032413962418,0.016077994340519056
0.0,1.0,6.0,0.9,0.5,0.9,0.5,0.9783251231527095,0.9996716603919024,0.006650749365198047,0.018638448486537756
0.0,1.0,7.0,0.8,0.5,0.7,0.5,0.9665024630541873,0.9995502236893187,0.007900615980165953,0.020910672545853798
0.0,1.0,8.0,0.8,0.4,0.8,0.4,0.9724137931034483,0.9995039246302245,0.010126402553943975,0.023948438693217174
0.0,1.0,9.0,0.8,0.6,0.8,0.6,0.9802955665024631,0.9989165376553008,0.012248670866640402,0.028077734219732385
0.0,2.0,3.0,0.7,0.5,0.7,0.5,0.9536945812807882,0.9994092439367392,0.009558456409830553,0.02570379475770265
0.0,2.0,4.0,0.7,0.7,0.7,0.7,0.9596059113300494,0.9990100160962685,0.0125160157847759,0.030595772861943066
0.0,2.0,5.0,0.8,0.4,0.8,0.4,0.9605911330049262,0.9989706532336586,0.01255249463813431,0.03176447424760679
0.0,2.0,6.0,0.7,0.7,0.7,0.7,0.9507389162561578,0.9995867183610644,0.008530884999724975,0.023315048786339235
0.0,2.0,7.0,0.8,0.6,0.7,0.5,0.9566502463054188,0.9997617678946331,0.006500927948800647,0.01816275471051313
0.0,2.0,8.0,0.7,0.7,0.7,0.7,0.9576354679802956,0.9998932106907309,0.003881952114581174,0.011836648981567954
0.0,2.0,9.0,0.7,0.5,0.7,0.5,0.9655172413793103,0.9982928336226222,0.0150875999479761,0.0349159467944181
0.0,3.0,4.0,0.9,0.7,0.8,0.6,0.9921182266009853,0.9997471549015605,0.005969737315487635,0.017743818786808738
0.0,3.0,5.0,0.8,0.6,0.8,0.6,0.9871921182266009,0.9998088426844525,0.00513876786146161,0.01777334835124958
0.0,3.0,6.0,0.9,0.5,0.9,0.5,0.9911330049261085,0.9997465805503328,0.0058283533454167435,0.014846820272035004
0.0,3.0,7.0,0.8,0.4,0.7,0.4,0.9714285714285714,0.9996017113620451,0.007272289042717819,0.02029295324944695
0.0,3.0,8.0,1.0,0.5,1.0,0.5,0.994088669950739,0.9993783476971821,0.010261452657469956,0.022065815942190824
0.0,3.0,9.0,1.0,1.0,1.0,1.0,0.9960591133004927,0.9995455941956438,0.007858063917702624,0.019554052074664607
0.0,4.0,5.0,0.9,0.5,0.8,0.5,0.9901477832512315,0.9998334318806583,0.004738106734215615,0.013439560091328793
0.0,4.0,6.0,0.9,0.7,0.8,0.7,0.9832512315270937,0.9997034014724431,0.0063496634248750156,0.018320154968099515
0.0,4.0,7.0,0.9,0.5,0.9,0.5,0.9822660098522169,0.999382980576718,0.009240809116195858,0.02379308675493607
0.0,4.0,8.0,0.9,0.7,0.8,0.7,0.9802955665024631,0.998806253312245,0.01400857096904582,0.03313939221078825
0.0,4.0,9.0,0.9,0.7,0.8,0.6,0.9901477832512315,0.9996833383906849,0.007037515881780624,0.01998059936515067
0.0,5.0,6.0,0.9,0.5,0.9,0.5,0.9852216748768473,0.9995146730353891,0.008056268570016218,0.02509841830594059
0.0,5.0,7.0,0.8,0.5,0.7,0.5,0.9714285714285714,0.9991559482609164,0.010682161426708957,0.030841705295891177
0.0,5.0,8.0,0.8,0.4,0.8,0.4,0.975369458128079,0.9988046975610255,0.013827316915679462,0.03588479045593861
0.0,5.0,9.0,0.8,0.6,0.8,0.6,0.9852216748768473,0.9996782033263303,0.006933031999778331,0.019503710253628737
